step,oracle_ctx,oracle_inf,oracle_lat,oracle_acc,feasible_count
0,2,1,0.201301,0.943253,43
1,6,1,0.250182,0.829834,43
2,8,1,0.350184,0.724731,34
3,7,1,0.323820,0.671916,18
4,6,1,0.488493,0.320882,0
5,8,1,0.370849,0.384115,0
6,6,1,0.328523,0.305705,0
7,2,1,0.195058,0.568604,9
8,8,1,0.377675,0.356812,0
9,7,1,0.396991,0.329305,0
10,6,1,0.296459,0.722534,36
11,6,1,0.389742,0.396403,0
12,7,1,0.389689,0.370809,0
13,8,1,0.442148,0.243571,0
14,7,1,0.342844,0.349528,0
15,2,1,0.232330,0.441162,0
16,2,1,0.213243,0.637614,34
17,2,1,0.168250,0.665283,23
18,2,1,0.271495,0.372640,0
19,2,1,0.225046,0.384644,0
20,6,1,0.288330,0.485067,0
21,2,1,0.184493,0.366577,0
22,2,1,0.190582,0.543742,4
23,2,1,0.186670,0.385173,0
24,2,1,0.170768,0.838094,48
25,1,1,0.147048,0.530843,48
26,2,1,0.169832,0.952596,47
27,1,1,0.143254,0.846354,48
28,1,1,0.140391,0.901530,48
29,1,1,0.134962,0.958740,48
30,1,1,0.135548,0.884196,48
31,1,1,0.134488,0.956706,48
32,1,1,0.149503,0.510457,48
33,1,1,0.149427,0.679362,48
34,2,1,0.190561,0.490356,0
35,8,1,0.448572,0.348592,0
36,8,1,0.586824,0.199951,0
37,6,1,0.434985,0.490112,0
38,1,1,0.130483,0.887736,48
39,2,1,0.154667,0.818848,47
40,1,1,0.133073,0.759196,48
