adduser	3.118ubuntu5
apt	2.4.14
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
binutils	2.38-4ubuntu2.8
binutils-common:amd64	2.38-4ubuntu2.8
binutils-x86-64-linux-gnu	2.38-4ubuntu2.8
bsdutils	1:2.37.2-4ubuntu3.4
build-essential	12.9ubuntu3
bzip2	1.0.8-5build1
ca-certificates	20240203~22.04.1
ccache	4.5.1-1
cmake	3.22.1-1ubuntu1.22.04.2
cmake-data	3.22.1-1ubuntu1.22.04.2
coreutils	8.32-4.1ubuntu1.2
cpp	4:11.2.0-1ubuntu1
cpp-11	11.4.0-1ubuntu1~22.04
cuda-cccl-12-9	12.9.27-1
cuda-command-line-tools-12-9	12.9.1-1
cuda-compat-12-9	575.57.08-0ubuntu1
cuda-compiler-12-9	12.9.1-1
cuda-crt-12-9	12.9.86-1
cuda-cudart-12-9	12.9.79-1
cuda-cudart-dev-12-9	12.9.79-1
cuda-cuobjdump-12-9	12.9.82-1
cuda-cupti-12-9	12.9.79-1
cuda-cupti-dev-12-9	12.9.79-1
cuda-cuxxfilt-12-9	12.9.82-1
cuda-driver-dev-12-9	12.9.79-1
cuda-gdb-12-9	12.9.79-1
cuda-keyring	1.1-1
cuda-libraries-12-9	12.9.1-1
cuda-libraries-dev-12-9	12.9.1-1
cuda-minimal-build-12-9	12.9.1-1
cuda-nsight-compute-12-9	12.9.1-1
cuda-nvcc-12-9	12.9.86-1
cuda-nvdisasm-12-9	12.9.88-1
cuda-nvml-dev-12-9	12.9.79-1
cuda-nvprof-12-9	12.9.79-1
cuda-nvprune-12-9	12.9.82-1
cuda-nvrtc-12-9	12.9.86-1
cuda-nvrtc-dev-12-9	12.9.86-1
cuda-nvtx-12-9	12.9.79-1
cuda-nvvm-12-9	12.9.86-1
cuda-opencl-12-9	12.9.19-1
cuda-profiler-api-12-9	12.9.79-1
cuda-sandbox-dev-12-9	12.9.19-1
cuda-sanitizer-12-9	12.9.79-1
cuda-toolkit-12-9-config-common	12.9.79-1
cuda-toolkit-12-config-common	12.9.79-1
cuda-toolkit-config-common	12.9.79-1
dash	0.5.11+git20210903+057cd650a4ed-3build1
dbus	1.12.20-2ubuntu4.1
debconf	1.5.79ubuntu1
debianutils	5.5-1ubuntu2
dh-elpa-helper	2.0.9ubuntu1
diffutils	1:3.8-0ubuntu2
dirmngr	2.2.27-3ubuntu2.4
distro-info-data	0.52ubuntu0.11
dmsetup	2:1.02.175-2.1ubuntu5
dpkg	1.21.1ubuntu2.3
dpkg-dev	1.21.1ubuntu2.3
e2fsprogs	1.46.5-2ubuntu1.2
emacsen-common	3.0.4
file	1:5.41-3ubuntu0.1
findutils	4.8.0-1ubuntu3
g++	4:11.2.0-1ubuntu1
g++-11	11.4.0-1ubuntu1~22.04
gcc	4:11.2.0-1ubuntu1
gcc-11	11.4.0-1ubuntu1~22.04
gcc-11-base:amd64	11.4.0-1ubuntu1~22.04
gcc-12-base:amd64	12.3.0-1ubuntu1~22.04
gir1.2-glib-2.0:amd64	1.72.0-1
gir1.2-packagekitglib-1.0	1.2.5-2ubuntu3
git	1:2.34.1-1ubuntu1.15
git-man	1:2.34.1-1ubuntu1.15
gnupg	2.2.27-3ubuntu2.4
gnupg-l10n	2.2.27-3ubuntu2.4
gnupg-utils	2.2.27-3ubuntu2.4
gnupg2	2.2.27-3ubuntu2.4
gpg	2.2.27-3ubuntu2.4
gpg-agent	2.2.27-3ubuntu2.4
gpg-wks-client	2.2.27-3ubuntu2.4
gpg-wks-server	2.2.27-3ubuntu2.4
gpgconf	2.2.27-3ubuntu2.4
gpgsm	2.2.27-3ubuntu2.4
gpgv	2.2.27-3ubuntu2.4
grep	3.7-1build1
gzip	1.10-4ubuntu4.1
hostname	3.23ubuntu2
ibverbs-providers:amd64	39.0-1
init-system-helpers	1.62
iso-codes	4.9.0-1
javascript-common	11+nmu1
less	590-1ubuntu0.22.04.3
libacl1:amd64	2.3.1-1
libapparmor1:amd64	3.0.4-2ubuntu2.4
libappstream4:amd64	0.15.2-2
libapt-pkg6.0:amd64	2.4.14
libarchive13:amd64	3.6.0-1ubuntu1.5
libargon2-1:amd64	0~20171227-0.3
libasan6:amd64	11.4.0-1ubuntu1~22.04
libassuan0:amd64	2.5.5-1build1
libatomic1:amd64	12.3.0-1ubuntu1~22.04
libattr1:amd64	1:2.5.1-1build1
libaudit-common	1:3.0.7-1build1
libaudit1:amd64	1:3.0.7-1build1
libbinutils:amd64	2.38-4ubuntu2.8
libblkid1:amd64	2.37.2-4ubuntu3.4
libbrotli1:amd64	1.0.9-2build6
libbsd0:amd64	0.11.5-1
libbz2-1.0:amd64	1.0.8-5build1
libc-bin	2.35-0ubuntu3.10
libc-dev-bin	2.35-0ubuntu3.10
libc6:amd64	2.35-0ubuntu3.10
libc6-dev:amd64	2.35-0ubuntu3.10
libcap-ng0:amd64	0.7.9-2.2build3
libcap2:amd64	1:2.44-1ubuntu0.22.04.2
libcap2-bin	1:2.44-1ubuntu0.22.04.2
libcbor0.8:amd64	0.8.0-2ubuntu1
libcc1-0:amd64	12.3.0-1ubuntu1~22.04
libcom-err2:amd64	1.46.5-2ubuntu1.2
libcrypt-dev:amd64	1:4.4.27-1
libcrypt1:amd64	1:4.4.27-1
libcryptsetup12:amd64	2:2.4.3-1ubuntu1.3
libctf-nobfd0:amd64	2.38-4ubuntu2.8
libctf0:amd64	2.38-4ubuntu2.8
libcublas-12-9	12.9.1.4-1
libcublas-dev-12-9	12.9.1.4-1
libcufft-12-9	11.4.1.4-1
libcufft-dev-12-9	11.4.1.4-1
libcufile-12-9	1.14.1.1-1
libcufile-dev-12-9	1.14.1.1-1
libcurand-12-9	10.3.10.19-1
libcurand-dev-12-9	10.3.10.19-1
libcurl3-gnutls:amd64	7.81.0-1ubuntu1.21
libcurl4:amd64	7.81.0-1ubuntu1.21
libcusolver-12-9	11.7.5.82-1
libcusolver-dev-12-9	11.7.5.82-1
libcusparse-12-9	12.5.10.65-1
libcusparse-dev-12-9	12.5.10.65-1
libdb5.3:amd64	5.3.28+dfsg1-0.8ubuntu3
libdbus-1-3:amd64	1.12.20-2ubuntu4.1
libdebconfclient0:amd64	0.261ubuntu1
libdevmapper1.02.1:amd64	2:1.02.175-2.1ubuntu5
libdpkg-perl	1.21.1ubuntu2.3
libdw1:amd64	0.186-1ubuntu0.1
libedit2:amd64	3.1-20210910-1build1
libelf1:amd64	0.186-1ubuntu0.1
liberror-perl	0.17029-1
libexpat1:amd64	2.4.7-1ubuntu0.6
libexpat1-dev:amd64	2.4.7-1ubuntu0.6
libext2fs2:amd64	1.46.5-2ubuntu1.2
libffi8:amd64	3.4.2-4
libfido2-1:amd64	1.10.0-1
libgcc-11-dev:amd64	11.4.0-1ubuntu1~22.04
libgcc-s1:amd64	12.3.0-1ubuntu1~22.04
libgcrypt20:amd64	1.9.4-3ubuntu3
libgdbm-compat4:amd64	1.23-1
libgdbm6:amd64	1.23-1
